id,tier,route,method,path,dependency,mode,realism,faultedCallIndex,seed,userId,ip,status,bodyClass,errorCode,errorMessage,durationMs,upstreamCalls,faultedCalls,faultedDependencyReached,leak,baselineStatus,expected,verdict,recoverability,preludeStatuses
baseline:healthz,baseline,healthz,GET,/healthz,none,healthy,n/a,,fi-v1:baseline:healthz,2410ce2a-19e8-4b4f-8151-e8eae04c1781,10.236.205.182,200,success_json,,,3.6,1,0,true,false,,healthy baseline,pass,success,
baseline:support,baseline,support,GET,/support,none,healthy,n/a,,fi-v1:baseline:support,3df92294-66bf-4b40-b4c6-b3652150e234,10.34.114.11,200,success_text,,,0.4,1,0,true,false,,healthy baseline,pass,success,
baseline:privacy,baseline,privacy,GET,/privacy,none,healthy,n/a,,fi-v1:baseline:privacy,bc21eb0a-5df5-44d4-8737-c9e07a7ec134,10.184.88.149,200,success_text,,,0.4,1,0,true,false,,healthy baseline,pass,success,
baseline:terms,baseline,terms,GET,/terms,none,healthy,n/a,,fi-v1:baseline:terms,8e1aad3f-9ee8-4c03-b2da-7409d78500cc,10.192.169.57,200,success_text,,,0.4,1,0,true,false,,healthy baseline,pass,success,
baseline:webhook_revenuecat,baseline,webhook_revenuecat,POST,/webhooks/revenuecat,none,healthy,n/a,,fi-v1:baseline:webhook_revenuecat,b71e1042-c799-4b5f-a4fc-940086c990d2,10.113.0.147,200,success_json,,,6.9,5,0,true,false,,healthy baseline,pass,success,
baseline:account_bootstrap_google,baseline,account_bootstrap_google,POST,/v1/account/bootstrap,none,healthy,n/a,,fi-v1:baseline:account_bootstrap_google,d15a5a0a-ae24-45fb-afcd-06ab4d86b390,10.163.122.212,200,success_json,,,2.3,5,0,true,false,,healthy baseline,pass,success,
baseline:account_bootstrap_apple,baseline,account_bootstrap_apple,POST,/v1/account/bootstrap,none,healthy,n/a,,fi-v1:baseline:account_bootstrap_apple,61d03193-694c-4f32-b64a-e9b8064e93b8,10.148.184.117,200,success_json,,,3.3,7,0,true,false,,healthy baseline,pass,success,
baseline:auth_refresh,baseline,auth_refresh,POST,/v1/auth/refresh,none,healthy,n/a,,fi-v1:baseline:auth_refresh,fc1847c6-7c06-46b7-be7c-5ffa6979dd22,10.199.147.157,200,success_json,,,1.3,4,0,true,false,,healthy baseline,pass,success,
baseline:auth_logout,baseline,auth_logout,POST,/v1/auth/logout,none,healthy,n/a,,fi-v1:baseline:auth_logout,f21974ea-98ae-44b0-b4b6-30cc0e374da8,10.118.235.9,204,no_content,,,2.2,8,0,true,false,,healthy baseline,pass,success,
baseline:me,baseline,me,GET,/v1/me,none,healthy,n/a,,fi-v1:baseline:me,8de41d52-1994-4dc1-9c26-ba47de6164b1,10.77.5.30,200,success_json,,,1.5,7,0,true,false,,healthy baseline,pass,success,
baseline:me_onboarding,baseline,me_onboarding,PUT,/v1/me/onboarding,none,healthy,n/a,,fi-v1:baseline:me_onboarding,b056187a-1f33-4985-9e25-86ecdb002cf0,10.167.28.28,200,success_json,,,1.7,7,0,true,false,,healthy baseline,pass,success,
baseline:me_access,baseline,me_access,GET,/v1/me/access,none,healthy,n/a,,fi-v1:baseline:me_access,fca5f55c-6281-4725-baae-eab477e06df9,10.218.16.183,200,success_json,,,1.4,7,0,true,false,,healthy baseline,pass,success,
baseline:billing_sync,baseline,billing_sync,POST,/v1/billing/sync,none,healthy,n/a,,fi-v1:baseline:billing_sync,926b36c6-f5b5-429e-b0ce-2ea19ae040f9,10.33.80.16,200,success_json,,,1.5,9,0,true,false,,healthy baseline,pass,success,
